"_id","replicas","date","cycle"
"ObjectId(""607830285e0fe5577e138451"")",10,"2021-04-15T12:23:04.184Z",81
"ObjectId(""6078302a5e0fe5577e138453"")",10,"2021-04-15T12:23:06.664Z",81
"ObjectId(""6078307b5e0fe5577e138455"")",10,"2021-04-15T12:24:27.328Z",82
"ObjectId(""607830c05e0fe5577e138457"")",10,"2021-04-15T12:25:36.049Z",82
"ObjectId(""607831105e0fe5577e138459"")",10,"2021-04-15T12:26:56.787Z",83
"ObjectId(""607831135e0fe5577e13845b"")",10,"2021-04-15T12:26:59.309Z",83
"ObjectId(""607831635e0fe5577e13845d"")",10,"2021-04-15T12:28:19.932Z",84
"ObjectId(""607831665e0fe5577e13845f"")",10,"2021-04-15T12:28:22.587Z",84
"ObjectId(""607831b75e0fe5577e138461"")",10,"2021-04-15T12:29:43.264Z",85
"ObjectId(""6078321e5e0fe5577e138463"")",10,"2021-04-15T12:31:26.016Z",85
"ObjectId(""6078326e5e0fe5577e138465"")",10,"2021-04-15T12:32:46.818Z",86
"ObjectId(""607832715e0fe5577e138467"")",10,"2021-04-15T12:32:49.338Z",86
"ObjectId(""607832c25e0fe5577e138469"")",10,"2021-04-15T12:34:10.106Z",87
"ObjectId(""607832c45e0fe5577e13846b"")",10,"2021-04-15T12:34:12.682Z",87
"ObjectId(""607833155e0fe5577e13846d"")",10,"2021-04-15T12:35:33.451Z",88
"ObjectId(""6078335c5e0fe5577e13846f"")",10,"2021-04-15T12:36:44.725Z",88
"ObjectId(""607833ad5e0fe5577e138471"")",10,"2021-04-15T12:38:05.369Z",89
"ObjectId(""607833af5e0fe5577e138473"")",10,"2021-04-15T12:38:07.879Z",89
"ObjectId(""607834005e0fe5577e138475"")",10,"2021-04-15T12:39:28.562Z",90
"ObjectId(""607834035e0fe5577e138477"")",10,"2021-04-15T12:39:31.097Z",90
"ObjectId(""607834535e0fe5577e138479"")",10,"2021-04-15T12:40:51.800Z",91
"ObjectId(""607834c45e0fe5577e13847b"")",10,"2021-04-15T12:42:44.777Z",91
"ObjectId(""607835195e0fe5577e13847d"")",10,"2021-04-15T12:44:09.501Z",92
"ObjectId(""6078351c5e0fe5577e13847f"")",1,"2021-04-15T12:44:12.106Z",92
"ObjectId(""6078355b5e0fe5577e138481"")",1,"2021-04-15T12:45:15.957Z",93
"ObjectId(""6078355e5e0fe5577e138483"")",10,"2021-04-15T12:45:18.384Z",93
"ObjectId(""607835b75e0fe5577e138485"")",10,"2021-04-15T12:46:47.379Z",94
"ObjectId(""607835de5e0fe5577e138487"")",10,"2021-04-15T12:47:26.125Z",94
"ObjectId(""6078362e5e0fe5577e138489"")",10,"2021-04-15T12:48:46.760Z",95
"ObjectId(""607836315e0fe5577e13848b"")",10,"2021-04-15T12:48:49.489Z",95
"ObjectId(""607836825e0fe5577e13848d"")",10,"2021-04-15T12:50:10.326Z",96
"ObjectId(""607836845e0fe5577e13848f"")",10,"2021-04-15T12:50:12.717Z",96
"ObjectId(""607836d55e0fe5577e138491"")",10,"2021-04-15T12:51:33.343Z",97
"ObjectId(""607837465e0fe5577e138493"")",10,"2021-04-15T12:53:26.125Z",97
"ObjectId(""607837965e0fe5577e138495"")",10,"2021-04-15T12:54:46.702Z",98
"ObjectId(""607837995e0fe5577e138497"")",10,"2021-04-15T12:54:49.109Z",98
"ObjectId(""607837e95e0fe5577e138499"")",10,"2021-04-15T12:56:09.682Z",99
"ObjectId(""607837ec5e0fe5577e13849b"")",10,"2021-04-15T12:56:12.241Z",99
"ObjectId(""6078383c5e0fe5577e13849d"")",10,"2021-04-15T12:57:32.961Z",100
"ObjectId(""607838845e0fe5577e13849f"")",10,"2021-04-15T12:58:44.732Z",100
"ObjectId(""607838d55e0fe5577e1384a1"")",10,"2021-04-15T13:00:05.421Z",101
"ObjectId(""607838d85e0fe5577e1384a3"")",10,"2021-04-15T13:00:08.080Z",101
