"_id","requests","concurrent_users","arrival_rate","response_time","data_payload","predicted_p_s","predicted_W","predicted_gamma","date","cycle"
"ObjectId(""5f6848a0be76ed731c6efa43"")",400,50,90.71,551.192,589,0.002095020094645663,6.553031841447853,3.2428675650653305,"2020-09-21T06:30:56.055Z",815
"ObjectId(""5f68485cbe76ed731c6efa42"")",1000,100,87.59,1141.622,589,0.002073280157355247,3.7908490557048546,3.849250406212521,"2020-09-21T06:29:48.809Z",814
"ObjectId(""5f684812be76ed731c6efa41"")",20,5,80.95,61.767,589,0.0020797079008835757,4.839083786345059,3.178072638481856,"2020-09-21T06:28:34.772Z",813
"ObjectId(""5f6847d4be76ed731c6efa40"")",100,20,90.53,220.909,589,0.0021467326418880862,5.635244633409819,3.1923158420615847,"2020-09-21T06:27:32.009Z",812
"ObjectId(""5f684794be76ed731c6efa3f"")",100,10,90.94,109.967,589,0.0020782947850921767,5.106261837992776,3.262833130043002,"2020-09-21T06:26:28.046Z",811
"ObjectId(""5f684754be76ed731c6efa3e"")",160,20,92.2,216.91,589,,,,"2020-09-21T06:25:24.422Z",810
"ObjectId(""5f68470fbe76ed731c6efa3d"")",300,30,89.68,334.534,589,0.0021715616881533926,7.314250152277374,3.5048136843047755,"2020-09-21T06:24:15.054Z",809
"ObjectId(""5f68467bbe76ed731c6efa3c"")",400,50,89.61,557.958,589,0.00208292718515158,7.0221617895897595,3.264948456719055,"2020-09-21T06:21:47.256Z",808
"ObjectId(""5f684637be76ed731c6efa3b"")",1000,100,87.03,1149.034,589,0.0023692455678862765,4.696405770939912,3.6530912250758654,"2020-09-21T06:20:39.815Z",807
"ObjectId(""5f6845edbe76ed731c6efa3a"")",20,5,90.32,55.358,589,0.0020956292414047095,6.110780706685709,3.226838723136203,"2020-09-21T06:19:25.055Z",806
"ObjectId(""5f6845aebe76ed731c6efa39"")",100,20,94.99,210.538,589,0.002143513390334509,5.937654703640545,3.2702804965985584,"2020-09-21T06:18:22.442Z",805
"ObjectId(""5f68456ebe76ed731c6efa38"")",100,10,92.84,107.717,589,0.002209307945836307,5.137415157121103,3.3591756588310258,"2020-09-21T06:17:18.905Z",804
"ObjectId(""5f68452ebe76ed731c6efa37"")",160,20,91.14,219.447,589,0.0021676356624092045,5.481297277411056,3.2588279012087047,"2020-09-21T06:16:14.831Z",803
"ObjectId(""5f6844eebe76ed731c6efa36"")",300,30,91.29,328.627,589,0.002087461277639492,7.03046036668792,3.2519745555220334,"2020-09-21T06:15:10.242Z",802
"ObjectId(""5f6843ffbe76ed731c6efa35"")",400,50,87.99,568.24,589,0.0022097974284789636,8.388145975053593,3.340259157340559,"2020-09-21T06:11:11.202Z",801
"ObjectId(""5f6843babe76ed731c6efa34"")",1000,100,90.1,1109.82,589,0.0021306245265019057,6.592063269438529,3.1739778400461303,"2020-09-21T06:10:02.192Z",800
"ObjectId(""5f684370be76ed731c6efa33"")",20,5,86.76,57.631,589,0.002161632607068447,4.4666281978312075,3.4016283000126744,"2020-09-21T06:08:48.231Z",799
"ObjectId(""5f6842f1be76ed731c6efa32"")",100,20,86.88,230.212,589,0.0021630204805669667,5.182122905730966,3.215937169195367,"2020-09-21T06:06:41.196Z",798
"ObjectId(""5f6842b1be76ed731c6efa31"")",100,10,91.01,109.872,589,0.002083356783833043,5.27538785490953,3.1545391116449153,"2020-09-21T06:05:37.170Z",797
"ObjectId(""5f68426fbe76ed731c6efa30"")",160,20,93.15,214.717,589,0.0020985590208249757,7.109026436132789,3.2521083204742958,"2020-09-21T06:04:31.718Z",796
"ObjectId(""5f68422fbe76ed731c6efa2f"")",300,30,91.62,327.443,589,0.00210981018852613,5.830530430084004,3.18077628352387,"2020-09-21T06:03:27.442Z",795
"ObjectId(""5f6841ecbe76ed731c6efa2e"")",400,50,90.61,551.836,589,0.002078519018002323,5.800319292760773,3.1003410867983163,"2020-09-21T06:02:20.804Z",794
"ObjectId(""5f6841a9be76ed731c6efa2d"")",1000,100,87.03,1149.089,589,0.0023692455678862765,4.696405770939912,3.6530912250758654,"2020-09-21T06:01:13.314Z",793
"ObjectId(""5f68415fbe76ed731c6efa2c"")",20,5,87.87,56.902,589,0.0022556775527173742,6.410345899441634,3.4217069335990407,"2020-09-21T05:59:59.106Z",792
"ObjectId(""5f684070be76ed731c6efa2b"")",100,20,94.93,210.682,589,0.002200059427620287,7.514225477649175,3.3104850140583784,"2020-09-21T05:56:00.926Z",791
"ObjectId(""5f684030be76ed731c6efa2a"")",100,10,95.77,104.419,589,0.0022541226864370885,5.72611447326309,3.3816365900916825,"2020-09-21T05:54:56.679Z",790
"ObjectId(""5f683fedbe76ed731c6efa29"")",160,20,92.6,215.989,589,0.002130014210633226,8.195080424679428,3.187922492064862,"2020-09-21T05:53:49.825Z",789
"ObjectId(""5f683f4fbe76ed731c6efa28"")",300,30,90.29,332.254,589,0.0021929536128634146,5.7622599395908365,3.299023982860346,"2020-09-21T05:51:11.386Z",788
"ObjectId(""5f683f0dbe76ed731c6efa27"")",400,50,91.12,548.74,589,0.0021676356624092045,5.4800944471987645,3.2588279012087047,"2020-09-21T05:50:05.328Z",787
"ObjectId(""5f683ec8be76ed731c6efa26"")",1000,100,91.74,1090.053,589,0.0021038257407980394,6.804299767129076,3.1618528095435257,"2020-09-21T05:48:56.649Z",786
"ObjectId(""5f683e7fbe76ed731c6efa25"")",20,5,82.56,60.566,589,0.0020816910549684544,4.492721283326869,3.1456844697418034,"2020-09-21T05:47:43.135Z",785
"ObjectId(""5f683de5be76ed731c6efa24"")",100,20,90.02,222.177,589,0.0021567179232228934,4.865664205927377,3.245673942943411,"2020-09-21T05:45:09.859Z",784
"ObjectId(""5f683da5be76ed731c6efa23"")",100,10,95.34,104.891,589,0.0022543505552102346,6.403339686756035,3.988190059037901,"2020-09-21T05:44:05.997Z",783
"ObjectId(""5f683d64be76ed731c6efa22"")",160,20,95.51,209.397,589,0.002195012593831538,7.606357217061519,3.2630433380750423,"2020-09-21T05:43:00.760Z",782
"ObjectId(""5f683d24be76ed731c6efa21"")",300,30,89.08,336.762,589,,,,"2020-09-21T05:41:56.618Z",781
"ObjectId(""5f683cddbe76ed731c6efa20"")",400,50,90.54,552.214,589,0.0021467326418880862,5.635867106030324,3.1923158420615847,"2020-09-21T05:40:45.231Z",780
"ObjectId(""5f683c98be76ed731c6efa1f"")",1000,100,88.09,1135.213,589,0.002116782847685172,6.722452499413555,3.2061246372742747,"2020-09-21T05:39:36.366Z",779
"ObjectId(""5f683c4ebe76ed731c6efa1e"")",20,5,80.41,62.178,589,0.002194238606442011,4.523013223929848,3.2573264381642884,"2020-09-21T05:38:22.211Z",778
"ObjectId(""5f683b5fbe76ed731c6efa1d"")",100,20,84.86,235.689,589,0.002163251798529468,6.801692472753577,3.328285850299896,"2020-09-21T05:34:23.847Z",777
"ObjectId(""5f683b1fbe76ed731c6efa1c"")",100,10,89.9,111.234,589,0.0021449933886427954,6.082224839277912,3.399809741696471,"2020-09-21T05:33:19.352Z",776
"ObjectId(""5f683a22be76ed731c6efa1b"")",160,20,91,219.789,589,0.0020782947850921767,5.109630825350152,3.262833130043002,"2020-09-21T05:29:06.999Z",775
"ObjectId(""5f6839e1be76ed731c6efa1a"")",300,30,91.82,326.741,589,0.0021736182018667065,6.959636993764025,3.33839482634805,"2020-09-21T05:28:01.950Z",774
"ObjectId(""5f6839a0be76ed731c6efa19"")",400,50,91.09,548.907,589,0.0021676356624092045,5.478290201880327,3.2588279012087047,"2020-09-21T05:26:56.125Z",773
"ObjectId(""5f6838f2be76ed731c6efa18"")",1000,100,89.26,1120.266,589,0.002281592663822401,5.685981327569567,3.384528021068089,"2020-09-21T05:24:02.874Z",772
"ObjectId(""5f6838a8be76ed731c6efa17"")",20,5,90.74,55.104,589,0.0022293476661545283,6.132775419436132,3.3467543041059065,"2020-09-21T05:22:48.395Z",771
"ObjectId(""5f683868be76ed731c6efa16"")",100,20,90.61,220.721,589,0.002078519018002323,5.800319292760773,3.1003410867983163,"2020-09-21T05:21:44.995Z",770
"ObjectId(""5f683829be76ed731c6efa15"")",100,10,94.02,106.361,589,0.002142605829796497,4.586240409769386,3.1873767971892546,"2020-09-21T05:20:41.078Z",769
"ObjectId(""5f6837e9be76ed731c6efa14"")",160,20,92.32,216.645,589,0.0021141191474413836,5.3664985521408175,3.1918492998321466,"2020-09-21T05:19:37.240Z",768
"ObjectId(""5f6837a7be76ed731c6efa13"")",300,30,89.49,335.22,589,0.0022358799790609817,6.267485504085977,3.370960345616679,"2020-09-21T05:18:31.110Z",767
"ObjectId(""5f683765be76ed731c6efa12"")",400,50,88.6,564.36,589,0.0022105840013250102,4.483524322110948,3.644996866118936,"2020-09-21T05:17:25.239Z",766
"ObjectId(""5f683697be76ed731c6efa11"")",1000,100,86.77,1152.501,589,0.002161632607068447,4.467143023580148,3.4016283000126744,"2020-09-21T05:13:59.173Z",765
"ObjectId(""5f68364cbe76ed731c6efa10"")",20,5,76.55,65.319,589,0.00210651222957687,4.662880610596988,3.2300917353721057,"2020-09-21T05:12:44.486Z",764
"ObjectId(""5f68360abe76ed731c6efa0f"")",100,20,84.19,237.557,589,0.0023985349676357913,7.306441362807878,3.565743144907117,"2020-09-21T05:11:38.646Z",763
"ObjectId(""5f68354abe76ed731c6efa0e"")",100,10,86.64,115.42,589,0.0020774875132838454,5.090166432279425,3.0997689117327942,"2020-09-21T05:08:26.925Z",762
"ObjectId(""5f68350abe76ed731c6efa0d"")",160,20,90.2,221.74,589,0.002171775200126919,7.4455744751996535,3.388025101910759,"2020-09-21T05:07:22.450Z",761
"ObjectId(""5f6834cabe76ed731c6efa0c"")",300,30,88.49,339.016,589,,,,"2020-09-21T05:06:18.160Z",760
"ObjectId(""5f6833fbbe76ed731c6efa0b"")",400,50,87.94,568.538,589,0.0021243598189833682,6.603288792143977,3.4473073127915566,"2020-09-21T05:02:51.096Z",759
"ObjectId(""5f6833b7be76ed731c6efa0a"")",1000,100,86.75,1152.759,589,0.002161632607068447,4.466113372082263,3.4016283000126744,"2020-09-21T05:01:43.204Z",758
"ObjectId(""5f68336cbe76ed731c6efa09"")",20,5,85.15,58.718,589,0.0020816723482851777,3.7179082280340094,3.11730582093625,"2020-09-21T05:00:28.621Z",757
